file_path,line,tag,attribute,url,domain
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-pf-ux2/compact.min.js","573","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-standard-pd/compactComps.min.e89e41f25bb78693631f56ee37f10ab9.js","92","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-static-gnb-hq/compact.min.f139926faf82c04da28fdb463d89b6d7.js","131","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-static-gnb/compact.min.f9785abe9843ed557cc7fa896e9559b5.js","127","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-support/compact.min.5a2129c8dd6126b7ecf1aab3b433a303.js","868","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/components/content/consumer/global/function/fn-g-service-location-map/clientlibs/site.min.1436a664034c71725df6c178cc0f05c1.js","44","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"iam/index.EOWjv3gf.bbbc6fe.js","22","a","href","http://help.content.samsung.com","help.content.samsung.com"
"pages/info/privacy/index.php","3641","a","href","http://helpx.adobe.com/flash-player/kb/disable-local-shared-objects-flash.html","helpx.adobe.com"
"aemapi/v6/data-login/emailActivationURL.pk.json","5103","js","string-literal","http://instagram.com/samsungpakistan","instagram.com"
"assets/css/pk-6a25df0ba3.css","5103","js","string-literal","http://instagram.com/samsungpakistan","instagram.com"
"index.php","5486","js","string-literal","http://instagram.com/samsungpakistan","instagram.com"
"pages/index.php","5483","js","string-literal","http://instagram.com/samsungpakistan","instagram.com"
"previous-index.php","12674","js","string-literal","http://instagram.com/samsungpakistan","instagram.com"
"assets/js/clientlib-base-b2b.min.5e492c939521db1712ce1f5ce40d0abc.js","896","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux2.min.5180728c478fb411f1001fe5b6c7e7fa.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13-c062c69766.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-b2b.min.5e492c939521db1712ce1f5ce40d0abc.js","896","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux2.min.5180728c478fb411f1001fe5b6c7e7fa.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux2.min.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/checkMemberStateAjax.do","local.sec.samsung.com"
"assets/js/clientlib-base-b2b.min.5e492c939521db1712ce1f5ce40d0abc.js","896","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux2.min.5180728c478fb411f1001fe5b6c7e7fa.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13-c062c69766.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"assets/js/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-b2b.min.5e492c939521db1712ce1f5ce40d0abc.js","896","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux2.min.5180728c478fb411f1001fe5b6c7e7fa.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux2.min.js","942","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-ux25.min.172c7e8f7944347bd914a84f57505c13.js","881","js","string-literal","http://local.sec.samsung.com/comLocal/loginCheck.do","local.sec.samsung.com"
